Company Name,Website URL,Current Known Address (City),Industry / Sector,Approx. Employee Count,Signal of Potential Office Space Need,Estimated Urgency / Score,Contact Information
Orange Cyberdefense España,https://www.orangecyberdefense.com,Barcelona,Cybersecurity,100 (launch phase),New entity launching with 100 cybersecurity experts. SOC center in Barcelona. Orange group targeting €2B revenue by 2030.,High,"LinkedIn: orange-cyberdefense, info@orangecyberdefense.com"

Kleinanzeigen (Adevinta),https://www.kleinanzeigen.de,"Barcelona (22@, Ciutat de Granada 150)",E-commerce / Classifieds,New office (hiring),"Opened first Spanish subsidiary (March 2026), 10th floor in 22@. 36M monthly users. I&D hub hiring developers.",High,LinkedIn: kleinanzeigen

TravelPerk,https://www.travelperk.com,"Barcelona (22@, Almogàvers 160)",Business Travel / SaaS,"1,500+","Leased 9,400 m² at Almogàvers 160 (A160). IRL-first (3 days/week in office). Hiring across all functions.",High,"LinkedIn: travelperk, press@travelperk.com"

Murphy AI,https://getmurphy.ai,Barcelona (Poblenou),AI / Fintech (Debt Collection),~40 (growing fast),"$15M raised (Northzone, ElevenLabs, Lakestar, Seedcamp). Founded 2024, already 40+. Hiring Sr AI Engineers, VP Product, Head of Finance.",High,"LinkedIn: murphy-ai, careers@getmurphy.ai"

Cala AI,https://cala.ai,Barcelona,AI / Knowledge-as-a-Service,~20,"€7M pre-seed (Lightspeed, Kfund, Kibo, Masia). Founded 2025 by ex-Apple/Vilynx executives. Recently inaugurated Barcelona office. US expansion planned.",High,LinkedIn: cala-ai

Grupo Prodesco,https://www.prodesco.es,"Terrassa (NEW 5,000 m² platform)",Food Distribution / Food Service,200+ (30% growth in 2025),"Opened NEW 5,000 m² logistics platform in Terrassa (Feb 2026). €62M revenue (+17.4%). 30% headcount growth. 6 tri-temperature vehicles. CEPYME500 recognized. Covering Barcelona metro area.",High,"LinkedIn: prodesco, info@prodesco.es"

Pastisart,https://pastisart.com,Terrassa (HQ + Roda de Berà factory),Frozen Bakery / Pastry Manufacturing,~520,"€112M revenue 2024, targeting €123M in 2025 (+10%). Just invested €16M expanding Roda de Berà factory from 11,000 to 16,000 m² (+50% capacity). 12.5% international sales. CEO: Núria Betriu (former ACCIÓ CEO).",High,"LinkedIn: pastisart, info@pastisart.com"

Vytrus Biotech,https://www.vytrus.com,Terrassa,Biotech / Cosmetics,Growing rapidly,"75% sales growth H1 2025. €5.5M investment in 1,600 m² plant. Total footprint 3,000 m², 15-year lease.",Medium-High,"LinkedIn: vytrus-biotech, info@vytrus.com"

Aflofarm España,https://www.aflofarm.pl,Barcelona (Avinguda Diagonal),Pharma / OTC,60 in Spain,"New offices on Avinguda Diagonal. €19M turnover 2025, launching 2 new OTC products.",Medium-High,"LinkedIn: aflofarm, info@aflofarm.es"

Siemens,https://www.siemens.es,"Barcelona (Torre Diagonal One, 22@)",Technology / Mobility,Large,Relocated HQ to Torre Diagonal One (22@) May 2025. Mobility division investing in Cornellà factory.,Medium-High,"LinkedIn: siemens, info.es@siemens.com"

Heura Foods,https://www.heurafoods.com,Barcelona (22@),Food Tech,~170,€20M EIB loan (May 2025). Moved to larger 22@ premises. Expanding product categories.,Medium-High,"LinkedIn: heura-foods, info@heurafoods.com"

Net-Pharma / Leanbio,https://www.leanbio.com,Sant Quirze del Vallès,Pharma Hub / Biotech,120 (expanding),"Net-Pharma Hub opening May 2026, 7,600 m² (70% occupied). Leanbio investing €25M+ in 4,000 m² plant.",Medium-High,"LinkedIn: leanbio, info@leanbio.com"

Deloitte,https://www.deloitte.es,Barcelona (Edificio Aura),Professional Services,Thousands in Barcelona,"Leased 14,100 m² in Edificio Aura (largest office deal of 2025). Expansion and consolidation.",Medium-High,"LinkedIn: deloitte, comunicacion@deloitte.es"

Larian Studios,https://larian.com,Barcelona (City Center),Gaming / RPG,~400 global (Barcelona expanding),"Baldur's Gate 3 creators. Barcelona studio (opened 2021) expanding: 10+ open positions in programming, VFX, tools, IT.",Medium-High,"LinkedIn: larian-studios, info@larian.com"

Socialpoint,https://www.socialpoint.es,Barcelona,Gaming / Mobile,Expanding,"11+ active openings: Director Game Economy, Senior Backend, Lead Product Manager. Continuous hiring for live ops.",Medium-High,"LinkedIn: socialpoint, info@socialpoint.es"

VTEX,https://www.vtex.com,Barcelona (EMEA/APAC Hub),E-commerce / SaaS,Growing hub,Inaugurated new Barcelona office as EMEA & APAC hub (late 2025). Coordinating multi-market operations.,Medium-High,"LinkedIn: vtex, info@vtex.com"

Sandsoft,https://www.sandsoft.com,Barcelona (European HQ),Gaming / Mobile,Creating 60 jobs/3 years,Opening European HQ in Barcelona (ACCIÓ supported). 60 qualified jobs over 3 years.,Medium-High,"LinkedIn: sandsoft, info@sandsoft.com"

Andersen,https://es.andersen.com,Barcelona,Law / Professional Services,Adding 30+,"Aggressively expanding Barcelona office, adding up to 30 professionals. Seeking to integrate other law firms.",Medium-High,"LinkedIn: andersen, info@andersen.com"

Smith & Nephew,https://www.smith-nephew.com,Esplugues de Llobregat,MedTech,"1,700 m² facility","1,700 m² at Esplugues Campus (former Braun factory). Tissue repair technology R&D.",Medium-High,"LinkedIn: smith-and-nephew, info@smith-nephew.com"

Chery,https://www.chery.cn,Cornellà de Llobregat (Arboretum2),Automotive R&D,"TBD (2,000 m² center)","2,000 m² R&D center at Arboretum2 opening autumn 2026. 6th global R&D center. €400M Catalan investment.",Medium-High,info@chery.cn

Mews,https://www.mews.com,Barcelona (Gran Via),Hospitality Tech / SaaS,800+ global,New Gran Via office (Aug 2025). 60% headcount growth in Spain. €185M Series C. Actively hiring.,Medium-High,"LinkedIn: mews, info@mews.com"

Wallapop,https://www.wallapop.com,Barcelona (22@),E-commerce / Marketplace,~300-400,"19M users, profitable since 2024. Acquired by Naver for €377M (Jan 2026). Record revenue expected 2025.",Medium-High,"LinkedIn: wallapop, press@wallapop.com"

Typeform,https://www.typeform.com,Barcelona (22@),SaaS / Online Forms,300+,"$187M raised. 20+ open positions. Expanding sales. Moved to 2,000 m² office in 22@ after outgrowing coworking.",Medium-High,"LinkedIn: typeform, press@typeform.com"

Sopra Steria España,https://www.soprasteria.es,"Barcelona (22@, Llull 112)",IT Consulting,Thousands (Spain),"Leased 2,967 m² across 3 floors in Campus MILE (22@). Moving from city center. Shares building with Glovo.",Medium-High,"LinkedIn: sopra-steria, info@soprasteria.es"

Colvin,https://www.colvin.com,Barcelona,E-commerce / Floral Tech,~200 (hiring 100 more),€45M raised (Eurazeo). Hiring 100 more. Expanding B2B marketplace. Entering French market.,Medium-High,"LinkedIn: colvin, info@colvin.com"

Amenitiz,https://www.amenitiz.com,Barcelona,Hospitality Tech / SaaS,230+,"$50M+ raised (Series A). 14,000+ hotel clients. TravelTech titan & Wired top startup. Actively hiring.",Medium-High,"LinkedIn: amenitiz, info@amenitiz.com"

Mitiga Solutions,https://www.mitigasolutions.com,Barcelona (BSC spin-off),Climate Tech / AI,~30 (UK + Spain),"€8.4M EIC funding (€2.4M grant + €6M equity). BSC spin-off. Climate risk intelligence for Tesla, NHS, Acciona. Hiring.",Medium-High,"LinkedIn: mitiga-solutions, info@mitigasolutions.com"

Genesy AI (Enginy),https://www.enginy.ai,Barcelona,AI / B2B Sales,~20→40 (expanding),"€5M seed (Samaipata, KFund, Itnig). Grew to 20+ in 9 months. Targeting 40 by 2025. Clients: Factorial, Sequra, Metricool.",Medium-High,LinkedIn: genesy-ai

Theker,https://www.theker.ai,Barcelona,AI / Industrial Robotics,~20 (seed-stage),"€18M raised — largest seed round in Spanish history (Kibo Ventures, Inditex). Adaptive AI robots for logistics, retail, manufacturing. Working with industrial clients.",Medium-High,LinkedIn: theker

Qida,https://www.qida.es,Barcelona,Health Tech / Home Care,"185 office + 1,800 caregivers","€37M investment round (largest social impact in Spain/Southern Europe). 300+ office team. 25,000+ families served. Multi-city expansion.",Medium-High,"LinkedIn: qida, empleo@qida.es, 625 55 35 69"

Cooltra,https://corporate.cooltra.com,Barcelona (Norrsken House),Mobility / Micromobility,800 (100 in Barcelona office),"€60M revenue 2024 (+32%). HQ at Norrsken Barcelona (100 employees). European leader in 2-wheel mobility. 32,000 vehicles across 7 countries.",Medium-High,LinkedIn: cooltra

Plusfresc,https://www.plusfresc.cat,"Terrassa (first store, Avinguda del Abad 43)",Supermarket / Food Retail,"1,487 (+5% in 2024)","Opened first Terrassa store (2,000 m²) in Nov 2024 — first in Vallès Occidental. €202M revenue. 88 stores across Catalonia. Plan de Expansión 2022-2024 with 9 new openings.",Medium-High,LinkedIn: plusfresc

Grifols,https://www.grifols.com,Sant Cugat del Vallès,Pharma,"23,000+ global",23+ active openings in Sant Cugat. Disability inclusion program expanded. Steady office capacity need.,Medium,"LinkedIn: grifols, info@grifols.com"

FORCADELL,https://www.forcadell.com,Terrassa,Real Estate Services,167,"New larger Terrassa office (Jan 2026), consolidating 3 locations. Designed for 'growth of coming years.'",Medium,"LinkedIn: forcadell, info@forcadell.com"

Banco Sabadell,https://www.bancosabadell.com,Sabadell (HQ) / Barcelona,Banking,"~4,700 in Spain","HQ moved back to Sabadell. Business banking added 69 specialists, grew clients by 20,000+.",Medium,"LinkedIn: banco-sabadell, bancosabadell@bancosabadell.com"

Cushman & Wakefield,https://www.cwsespana.com,Barcelona (L'Illa Diagonal),Real Estate Services,Expanded Iberia team,"Relocated to L'Illa Diagonal (1,300 m²) Dec 2025. €2.6M Iberia investment. New partner director hires.",Medium,"LinkedIn: cushman-&-wakefield, barcelona@cushmanwakefield.com"

SIXT España,https://www.sixt.es,Sabadell,Mobility,Expanding network,New Sabadell branch (Q3 2025). National expansion targeting 100 branches.,Medium,"LinkedIn: sixt, press@sixt.es"

Banca March,https://www.bancamarch.es,Barcelona (Avinguda Diagonal 431),Private Banking,Growing,"Leased 5,200 m² on Avinguda Diagonal 431. Growth ambitions in financial district.",Medium,"LinkedIn: banca-march, info@bancamarch.es"

Sage,https://www.sage.com,Barcelona (22@),Software / ERP,Global firm,"Leased 3,700 m² in NBA (Savills Q1 2025). Expansion in tech corridor.",Medium,"LinkedIn: sage-software, info@sage.com"

Infor,https://www.infor.com,Barcelona (22@),Enterprise Software,Global firm,"Leased 2,440 m² in NBA zone (Savills). Growing cloud ERP presence in Southern Europe.",Medium,"LinkedIn: infor, info@infor.com"

Sateliot,https://sateliot.space,Barcelona (Sants-Montjuïc),Satellite IoT,101-200,"$137M+ funding. Leased 1,800 m² (Q1 2025). 5G IoT satellite constellation.",Medium,"LinkedIn: sateliot, info@sateliot.space"

Puig Brands,https://www.puig.com,L'Hospitalet de Llobregat (Plaza Europa),Cosmetics / Perfumery,485 in ops hub,"Second tower completed (21,000 m²) at Plaza Europa HQ (early 2024). €3.62B revenue (+40%).",Medium,"LinkedIn: puig, info@puig.com"

Shein,https://www.shein.com,Barcelona (Marketing Hub),Fashion E-commerce,20 in Spain (8 in Barcelona),Marketing hub opened early 2026. Plans to expand team. Spain is top 3 EU market.,Medium,"LinkedIn: shein, press@shein.com"

FunPlus,https://www.funplus.com,Barcelona (Publishing),Gaming / Publishing,Barcelona team expanding,"Publishing hub for creative, community, marketing, brand growth teams. Global network.",Medium,"LinkedIn: funplus, info@funplus.com"

Sequentia Biotech,https://www.sequentiabiotech.com,Cerdanyola del Vallès (UAB),Bioinformatics / SaaS,Small (UAB-based),UAB Campus location. DNA sequence analysis software. Access to biotech talent pipeline.,Medium,info@sequentiabiotech.com

Novartis,https://www.novartis.es,Barcelona (Gran Via 764),Pharma,Large,"5 floors in renovated 13,400 m² building (Gran Via 764). Renovation completed 2024-2025.",Medium,"LinkedIn: novartis, info@novartis.es"

Glovo,https://www.glovoapp.com,Barcelona (22@),Delivery Tech,Large (Delivery Hero),"HQ in 22@. Part of tech cluster with CrowdStrike, Rakuten, NTT Data. Continuous expansion.",Medium,"LinkedIn: glovo, press@glovoapp.com"

Talent.com,https://www.talent.com,Barcelona (European Hub),HR Tech / Job Platform,~40-50,"European hub, created ~20 jobs. Plans to double workforce in 5 years. ACCIÓ supported.",Medium,"LinkedIn: talent-com, info@talent.com"

Fleet Mobility,https://www.fleetmobility.com,"Barcelona (22@, Alt Building)",Fleet Management / Mobility Tech,~50-100 (doubled in 1 year),Doubled headcount in past year. Leased 428 m² in Alt Building (Selvamar) plug & play. Latin America expansion planned.,Medium,LinkedIn: fleet-mobility

Valerdat,https://www.valerdat.com,Barcelona,AI / Supply Chain,~15 (targeting 20),6x annual revenue growth. Doubling recurring revenue every 3 months. 30 clients expanding to 100. Targeting 20 employees by year-end.,Medium,eduard.aran@valerdat.com

Danelfin,https://www.danelfin.com,Barcelona,AI / Fintech,~15,"€2M raised (Nauta Capital). AI-powered stock picking platform. 10,000+ features analyzed daily per stock. Benzinga finalist 2024.",Medium,LinkedIn: danelfin

Alinia AI,https://www.alinia.ai,Barcelona,AI / AI Safety,Small (seed-stage),"$7.5M seed (Dec 2025, Mouro Capital, Raise Ventures, Speedinvest). Model-agnostic AI guardrails platform. Hiring Applied Research Scientists (€75-110K).",Medium,LinkedIn: alinia-ai

Landbot,https://www.landbot.io,Barcelona (22@),AI / Conversational SaaS,100+,"$8M Series A (Swanlaab, CDTI). No-code AI chatbot builder. Clients: Allianz, Coca-Cola, BNP Paribas, Nestle. Hiring AI Engineers, Backend Engineers.",Medium,"LinkedIn: landbot, press@landbot.io"

Able Human Motion,https://www.ablehumanmotion.com,Barcelona (UPC spin-off),MedTech / Exoskeletons,~20-30,"UPC spin-off (2018). Developing lightweight robotic exoskeletons. First Spanish exoskeleton for clinical use. Hiring Firmware Engineers. 7 prototypes, 200+ patients tested.",Medium,"LinkedIn: able-human-motion, hello@ablehumanmotion.com, 93 189 25 94"

Ocean Ecostructures,https://www.oceanecostructures.com,Barcelona,Climate Tech / Marine Restoration,~20 (grew from 4),Grew from 4 to 20 employees. 200+ reef units deployed (600 more in fabrication). Selected by Nasdaq as top 12 emerging company. Regenerating largest artificial island in North Sea.,Medium,LinkedIn: ocean-ecostructures

Delfos Energy,https://www.delfos.energy,Barcelona,AI / Renewable Energy,~50-100,"AI-powered performance platform for renewable energy portfolios. Founded 2017. Monitoring 10,000+ renewable assets globally. Backed by leading VCs. Actively hiring engineers and data scientists.",Medium,"LinkedIn: delfos-energy, info@delfos.energy"

Neuroelectrics,https://www.neuroelectrics.com,Barcelona,MedTech / Brain Stimulation,~50-100,Barcelona-based neurotechnology company. StarStim tDCS brain stimulator. Enobio EEG systems. 100+ research institutions as clients. Founded by Ana Maiques (Norrsken Barcelona board member).,Medium,"LinkedIn: neuroelectrics, info@neuroelectrics.com"

IOMED,https://www.iomed.health,Barcelona,AI / Healthcare Data,~50-100,AI-powered healthcare data management platform. Founded 2016. NLP technology unlocking clinical data for research. Working with 50+ hospitals. Raised multiple funding rounds.,Medium,"LinkedIn: iomed, info@iomed.health"

Bo de Debò,https://www.bodedebo.com,Sant Vicenç de Castellet (near Terrassa),Prepared Meals / Food Manufacturing,~100,"Started in Terrassa (1942), now in Sant Vicenç de Castellet. ~100 employees, 20% annual growth. 3,500 m² facility already getting small. Strong expansion trajectory.",Medium,"LinkedIn: bo-de-debo, info@bodedebo.com"

B-Grup (Begudes del Vallès),https://www.bgrup.es,Terrassa,Food & Beverage Distribution,Large (since 1968),"Horeca food & beverage distribution since 1968. Terrassa-based, serving most of Spain. Official distributor for San Miguel, Pepsi, Schweppes, Font Vella, Vichy Catalán. Continuous national expansion.",Medium,"LinkedIn: b-grup, info@bgrup.es"
