company_name,business_type,locations_count,cities_present,headquarters_or_main_city,website,linkedin,instagram,decision_makers,emails,phone_numbers,expansion_signals,why_they_fit,estimated_positioning,lead_score,priority_level,notes
Énergie Fitness Iberia,Gym franchise (UK brand),"15+ clubs, targeting 75",Barcelona; Sant Cugat; Badalona; Madrid; Zaragoza,Barcelona,https://energiefitnessiberia.com,,@energiefitnessiberia,Rod Hill (CEO & Co-founder); George Houtenbos (Co-founder); Juan Francisco Ramírez (Expansion Director),,,"15 clubs active, targeting 75 in coming years; €15M revenue target; €600K-800K per club investment; Expanding to Rubí, Cerdanyola identified as interesting; Mollet del Vallès upcoming","Named Rubí and Cerdanyola as target locations - both in Vallès Occidental. Masterfranchise actively seeking franchisees. 900-1,500m² format includes 500m² proximity model. Barcelona-based expansion team.",Mid-market / Franchise,80,High,Expansion director explicitly mentioned Rubí and Cerdanyola as targets. Terrassa adjacent. Strong franchisee support system.
Metropolitan,Premium wellness club chain,23 clubs (21 Spain + 2 France),Barcelona (6 clubs); Madrid; Bilbao; Zaragoza; Badalona; Sant Just Desvern; Nice (France),L'Hospitalet de Llobregat (Barcelona),https://www.metropolitan.es,https://www.linkedin.com/company/metropolitan,@metropolitan,Albert Soler (CEO); José Antonio Castro (President); Rafael Cagigos (Director General Operaciones),,,€86.5M revenue in 2024 (+23.6%); €98M target for 2025; 21M investment plan: 12M new clubs + 9M renovations; Recently reopened Galileo club in Barcelona; 2 new clubs in 2024 (Madrid + Ourense),"Premium positioning with €125/month fees in Barcelona. 83,000+ members. Corporate wellness focus with comprehensive health assessments. 500m² premium boutique could work in office-adjacent location. Strong Barcelona base.",Premium / Luxury wellness,78,High,Premium club with strong Barcelona presence. Corporate wellness focus. Investment capacity high. 500m² could be satellite boutique concept.
Planet Fitness España,Low-cost gym chain (US brand),11 clubs (18 planned by end 2026),Madrid; Barcelona; Valencia; Sevilla (new); Murcia (new),Madrid,https://www.planetfitness.es,https://www.linkedin.com/company/planet-fitness,@planetfitnesses,Vicente Bañobre (General Manager Spain),,,7 new openings in 2026; Reaching 18 clubs by end 2026; First Barcelona urban clubs (Estel and Casp); Entering Andalucía and Murcia; €15/month pricing - disruptive,"Entering Barcelona urban market in 2026. Plans 300 clubs in Spain long-term. 500m² format with 2,000m² typical size may be too large. However, proximity format could work. Ultra-competitive pricing.",Ultra low-cost / Mass market,72,Medium,"Planning 300 clubs in Spain. Currently focused on major cities. 2,000m² typical format may exceed 500m². Long-term prospect as they expand to secondary cities."
Planet Fitness Iberia / Vicente Bañobre,Low-cost gym chain expansion,"Part of 2,896 global network",Madrid; Barcelona; Valencia,Madrid,https://www.planetfitness.es,,,Vicente Bañobre (General Manager Spain),,,Aggressive expansion in Spain; 7 openings in 2026; €15/month ultra-low pricing,Massive US-backed expansion. Could be interested in 500m² as they scale down to smaller formats. Corporate wellness partnerships through volume pricing.,Ultra low-cost,70,Medium,"Format typically 2,000m². May not fit 500m² unless they develop smaller format."
Basic-Fit España,Low-cost gym chain (European leader),209+ clubs in Spain,Rubí; Viladecans; Barberà del Vallès; Barcelona; Madrid; 50+ cities,Amsterdam (NL) / Barcelona,https://www.basic-fit.es,https://www.linkedin.com/company/basic-fit,@basicfit_es,Romain Bisiach (Marketing Director Spain),,,209+ clubs in Spain; 24/7 rollout in Catalonia started; Rubí and Barberà del Vallès 24/7; €35M annually for 24/7 staffing; Acquired 42 McFit clubs in 2024,Already in Rubí and Barberà (Vallès). 24/7 expansion shows commitment to area. Part of Europe's largest chain. 500m² may be small for their typical format but 24/7 urban concept could work.,Low-cost / 24-7,76,Medium,"Present in Vallès (Rubí, Barberà). 24/7 rollout active. Format may be larger than 500m² typically but evolving."
YogaOne (Wellness Revolution),Yoga studio franchise,65+ centers,Barcelona (19 centers); Madrid; Valencia; Sevilla; 30+ cities,Barcelona,https://www.yogaone.es,,@yogaonebydir,Silvia Canela (Expansion & Franchise Director),laia.mora@wellnessrevolution.es,,"65+ centers nationally; 19 in Barcelona alone; First international center in Genoa, Italy; Investment from €50,000; Seeking franchisees in cities 50,000+",Corporate wellness yoga is massive opportunity. 500m² could host flagship YogaOne or multiple boutique concepts. 19 Barcelona centers prove Catalan market saturation at premium levels. Terrassa gap exists.,Premium boutique wellness / Franchise,82,High,Part of Wellness Revolution/DiR group. YogaOne in Barcelona saturated but Terrassa untapped. Perfect corporate wellness partner.
Sano Center,Boutique fitness franchise (small groups),68+ centers in Spain,Barcelona; Madrid; Valencia; 30+ cities,Barcelona,https://sanocenter.es,,@sanocenter,,expansion@sanocenter.es,+34 611 61 72 40,"68+ franchise centers; EBITDA 32-48%; Break-even at 120-150 clients; Payback 24-36 months; Investment from €50,000; Franchise model actively recruiting","200-500m² format matches perfectly. High profitability model. 350m² example in <15,000 inhabitant town successful. €66/month ticket. Ideal for corporate wellness small-group training.",Boutique fitness / Franchise,81,High,Perfect 200-500m² format. High EBITDA (32-48%). Proven model in small towns. Actively seeking franchisees.
Dreamfit,Large-format low-cost gym chain,25 clubs (27 planned 2026),Barcelona; Sant Adrià; Sant Boi; L'Hospitalet; Madrid; Valencia; Sevilla; Zaragoza,Madrid,https://www.dreamfit.es,https://www.linkedin.com/company/dreamfit,@dreamfit,Rafael Cecilio (Founder & President),,,"€47M revenue in 2025; 112,600 members; 25 clubs, targeting 27 in 2026; €80M revenue target by 2030; Pipeline: Bilbao, Pinto, Torrejón planned from 2027","4,000m²+ format typically too large for 500m². However, proven in Barcelona metro (Sant Boi, L'Hospitalet). Corporate wellness partnerships possible. Medium priority due to format mismatch.",Mid-cost / Large format,68,Medium,"Format typically 4,000m²+. Too large for 500m² space. Worth monitoring for partnership models or smaller format development."
Indoorwall Climbing Centers,Climbing gym franchise,15+ centers across Spain,Barcelona; Granollers; Vic; Madrid; Valencia,Barcelona,https://www.indoorwall.com,,@indoorwall,Israel Macià (Founder),,,15 centers in 6 years; Franchise model expanding; Indoorwall Express concept (€350K investment); 30% EBITDA margins; Combines climbing + fitness + coworking,Indoorwall Express concept includes fitness + coworking zones in compact format. €350K investment. 30% margins. Climbing is Olympic sport driving demand. Corporate team-building angle.,Specialty fitness / Franchise,75,Medium,"Express format combines climbing, fitness, coworking. Growing sport. Franchise model. Vic and Granollers in Vallès proximity."
Fightland,Premium boxing club,20+ clubs in Spain,Madrid; Barcelona; Valencia; Málaga,Madrid,https://www.fightland.es,,@fightland,Luis Serrano (Founder),,,20+ clubs nationally; First 'boxing gym for non-boxers' concept; Premium positioning; Active franchise expansion,Premium boxing concept fits 500m². Corporate wellness stress-relief angle. Non-contact boxing accessible to office workers. Madrid-based but expanding to Catalonia.,Premium boutique boxing,73,Medium,'Premium Boxing Club' concept. Non-boxer friendly. Madrid base. Corporate wellness angle strong.
Barry's Bootcamp Iberia,Premium HIIT boutique,3 clubs (2 Madrid + 1 Barcelona),Barcelona (Pau Casals); Madrid,Madrid,https://www.barrys.com,,@barrys,José Daniel García Barredo (Franchise Lead Spain & Portugal); Santiago Zapata (Partner); Johan Nilsson (Partner),,,Opened Barcelona studio 2024; Second Madrid studio 2025; Plan for 10 studios by 2030; €1.5-2M per studio investment; €165/month pricing,"Premium HIIT concept with €165/month fees. 400m² format fits. Barcelona studio proves Catalan market. Plans 10 by 2030 including Valencia, Málaga, Bilbao. Terrassa could be satellite location.",Luxury boutique HIIT,74,Medium,Format ~400m² fits. Premium pricing. Expansion to 10 by 2030. Barcelona presence validates market. Terrassa satellite potential.
Body Fit Training (BFT) España,Strength & conditioning franchise,"1+ in Spain (Barcelona), 330+ globally",Barcelona,"Barcelona / Irvine, CA",https://www.bodyfittraining.com,,@bodyfittraining,Liz Andrews (Expansion Director Spain & Portugal),,,First Spain studio in Barcelona Eixample; 10 studios planned for 2024; 100 studios in 5 years target; Backed by Xponential Fitness; HYROX official training partner,Functional training + HYROX partnership is trending. Franchise model seeking operators. Barcelona first studio shows Catalan focus. 500m² strength studio format works.,Boutique strength / Franchise,76,Medium,HYROX trend creates demand. Franchise model. Xponential Fitness backing. Barcelona first entry point.
O2 Centro Wellness,Premium wellness club (boutique gym spa for women),9 clubs in Spain,Barcelona; Madrid; Girona; Granada; Huelva; Málaga,Madrid,https://www.o2centrowellness.com,,@o2centrowellness,Josep Garrido (Operations Director),,,"Opened Boutique Gym Barcelona in early 2025; Third female boutique club; 1,000m² women's wellness concept; Returned to Barcelona after 10-year absence","Female-focused boutique concept with gym+spa. 1,000m² format but could adapt. Returned to Barcelona market showing renewed Catalan interest. Corporate women's wellness partnership angle.",Premium women's wellness,72,Medium,Boutique Gym Spa concept for women. Recently returned to Barcelona. 9 clubs nationally. Women's wellness angle strong for corporate partnerships.
BeOne Centers,Fitness & wellness club chain,46 centers,Madrid; Barcelona; Bilbao; Zaragoza; Granada; Ourense; Lugo; Galicia,Ferrol (Galicia),https://beone.es,,@beonecenters,,,,46 clubs operating; 10 openings planned; 4 private centers added; Strong in Galicia but expanding nationally; ISO certified quality,National operator with expansion plan. 10 openings planned. Medium-sized city focus. Quality certifications. Could be interested in Vallès expansion.,Mid-market wellness,70,Medium,46 clubs. 10 openings planned. National expansion mode. Medium priority due to less direct Catalonia focus.
Cross Funcional 30',Boutique functional training franchise,Multiple in Terrassa area,Terrassa; Sabadell; Alicante,Terrassa,,,,Javier Ureña (Founder),,,"Operating in Terrassa and Sabadell; Franchise model launched 2018; 350m² format; Investment €25,500 + €12,000 canon; Planned 4 more openings in 2019",Already in Terrassa and Sabadell. Local operator with franchise ambitions. 350m² functional training format matches 500m². Local knowledge advantage. Could expand flagship location.,Budget boutique / Local franchise,72,Medium,Local Terrassa operator. Functional training franchise. Already in market. Could use larger space for expansion.
Trib3 (Tribute Brands),HIIT boutique franchise,11+ in Spain,Barcelona (5+ studios); Madrid,Barcelona,https://trib3.co,,@trib3,Jordi Bonich (CEO TRIB3 Spain); Elena Ginés (Spain Head of Operations),,,"6 new studios opened in Spain in 18 months; PILAT3S launched alongside TRIB3; Barcelona studios: Sagrada Familia, Les Corts, Balmes, Gràcia; Edan Studios partnership (Anna Lewandowska)","Strong Barcelona presence. Compact studio format (310m²). Franchise model. Multi-concept approach (HIIT + Pilates). Young, trendy demographic ideal for office area.",Trendy boutique HIIT,79,Medium,Strong Barcelona footprint. Compact studios. Multi-concept (TRIB3 + PILAT3S). Franchising. Young demographic.
Mugendo,Martial arts franchise,36 centers in Spain,Madrid; Barcelona; Valencia; 30+ cities,Barcelona,https://www.mugendo.es,,@mugendo,,,,"36 operating centers; 40 years experience; Franchise actively recruiting; Investment from €32,000; 1-year payback",Martial arts franchise with proven model. 36 clubs. €32K entry. Corporate self-defense and wellness programs. 100m² minimum but larger spaces for multiple disciplines.,Martial arts franchise / Budget,65,Low,36 clubs. Low investment. Martial arts concept. Niche market but proven.
Edan Studios (Anna Lewandowska),Multi-boutique wellness studio (HIIT + Pilates + Dance),1 (Barcelona Balmes),Barcelona,Barcelona,https://edanstudios.com,,@edanstudios,Anna Lewandowska (Founder); Jordi Bonich (CEO TRIB3 Spain (partner)),,,"Opened November 2024; 1,000m² premium location; 3 disciplines: HIIT, Pilates, Dance; €109-200/month pricing; Partnership with TRIB3/PILAT3S","Multi-boutique concept is trend leader. Premium pricing validates Barcelona market. 1,000m² format but concept scalable. Could expand to Terrassa as satellite. Influencer-backed marketing power.",Ultra-premium multi-boutique,71,Medium,Single location currently (Barcelona). Influencer founder. Premium concept. Expansion potential as boutique fitness grows in suburbs.
Wellhub (formerly Gympass),Corporate wellness platform,"Network platform (19,000+ partner gyms)",Global - 11 countries,São Paulo / Madrid,https://www.wellhub.com,https://www.linkedin.com/company/wellhub,@wellhub,Arturo Muzelle (Corporate Partnerships Director Spain),,,"Partnered with Basic-Fit Spain; Acquired Fitprime Italy; 4,300+ corporate clients in Italy; 19,000+ partner gyms globally",Corporate wellness platform connecting employers to gyms. NOT an operator but KEY PARTNER. Office building with corporate tenants is exactly their target. Can drive corporate memberships for any operator in the space.,Corporate wellness tech platform,88,High,NOT a gym operator - but CRITICAL partner. Any operator in the 500m² space should partner with Wellhub for corporate client flow. Office-adjacent location is ideal for their model.
Holiday Gym,Regional gym chain,20+ clubs,Madrid (14); Valencia (4); Zaragoza; Ibiza,Madrid,https://www.holidaygym.es,,@holidaygym,Luis Guerra (Founder),,,"20+ clubs, 36 years experience; Expanded to Ibiza 2020; Acquired former Fraile Gym location; Veteran operator with expansion capacity",Experienced operator with 36 years track record. Primarily Madrid/Valencia focused but expansion capacity. Not directly targeting Catalonia currently but could be interested in growth.,Mid-market,60,Low,Primarily Madrid/Valencia. Not actively targeting Catalonia. Lower priority.
